"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6","6","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","D1","1","LED","LED_THT:LED_D5.0mm",""
"3","J1, J2, J3","3","Screw_Terminal_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm",""
"4","R1, R3","2","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"5","R2","1","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"6","R4, R5, R6","3","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"7","R7, R9, R11","3","82k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"8","R8, R10, R12","3","120k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"9","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"10","U1","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"11","U2","1","LM4040LP-3","Package_TO_SOT_THT:TO-92_Inline",""
